location_id,town_name,latitude,longitude,existing_chargers_in_10_miles,resident_number_in_10_miles,car_number_in_10_miles,traffic_volume_in_10_miles,demand_score,recommendation_rank,recommendation_reason,recommendation_date
LOC_3422,Woodlands,1.444419,103.791275,3,295435,39322,9938,98.18,1,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_4364,Yishun,1.428839,103.826716,1,292379,39373,9647,97.92,2,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_8269,Pasir Ris,1.368005,103.943726,0,297213,37323,9701,97.78,3,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1054,Sengkang,1.382189,103.896235,2,299684,35669,9851,96.9,4,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_9378,Jurong West,1.339637,103.71574,7,292547,39853,9875,96.83,5,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_7748,Tampines,1.355862,103.954771,3,294460,36830,9478,95.92,6,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_8337,Sengkang,1.387088,103.903942,1,269338,38547,9911,95.73,7,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_6299,Ang Mo Kio,1.369371,103.859314,3,275731,39985,9444,95.55,8,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_3894,Jurong West,1.342226,103.709848,6,297669,38834,8968,95.32,9,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1453,Pasir Ris,1.367848,103.942647,8,290508,39439,9475,95.32,10,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_5228,Woodlands,1.443553,103.786736,2,286004,38822,8916,95.24,11,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_3963,Toa Payoh,1.335251,103.865157,0,268310,37793,9648,95.02,12,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_8122,Bukit Batok,1.353166,103.745151,2,269028,37778,9871,94.93,13,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_9232,Woodlands,1.428249,103.787649,2,287182,37212,9074,94.87,14,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_2254,Pasir Ris,1.366649,103.958302,8,285169,36989,9928,94.47,15,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_3257,Jurong West,1.340697,103.709243,1,291891,37064,8518,94.46,16,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_2903,Sengkang,1.393366,103.893029,3,294687,37321,8561,94.35,17,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_2638,Yishun,1.439284,103.833553,1,294209,36367,8500,94.3,18,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_2407,Toa Payoh,1.334862,103.848845,10,294873,39575,8880,94.03,19,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_4676,Toa Payoh,1.324679,103.853602,1,271226,35428,9688,93.91,20,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_7924,Yishun,1.421437,103.830382,2,299352,33366,8890,93.8,21,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_8591,Yishun,1.426067,103.844873,4,295454,39231,7598,93.16,22,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_4722,Bukit Batok,1.343431,103.744485,12,284551,37120,9858,93.13,23,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_6933,Woodlands,1.426721,103.781123,1,253069,37012,9776,93.06,24,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1784,Tampines,1.34078,103.952132,4,293850,34966,8691,93.05,25,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_2551,Ang Mo Kio,1.375973,103.841919,13,298759,38251,8943,92.99,26,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_7380,Sengkang,1.397549,103.888591,1,278668,30821,9987,92.95,27,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_9446,Tampines,1.354514,103.96104,14,299256,37983,9086,92.89,28,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1354,Woodlands,1.433142,103.792521,4,297705,30571,9452,92.76,29,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_6037,Ang Mo Kio,1.372481,103.857707,0,292587,39565,6785,92.61,30,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_7105,Toa Payoh,1.324597,103.852901,3,256489,39335,9093,92.6,31,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_4977,Bukit Batok,1.362199,103.759947,1,291363,27566,9974,92.57,32,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_7701,Bukit Batok,1.344757,103.758557,1,251147,37003,9616,92.55,33,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_4033,Jurong West,1.332798,103.701442,2,237284,39226,9893,92.53,34,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_9946,Jurong West,1.344219,103.704956,2,287751,33693,8699,92.42,35,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_2450,Tampines,1.356257,103.956965,11,278413,39724,8979,92.36,36,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_4625,Bukit Batok,1.346792,103.757341,2,295079,37829,7253,92.33,37,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_8678,Woodlands,1.43749,103.786594,6,287845,30797,9942,92.27,38,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_7834,Woodlands,1.443394,103.781761,2,246674,37478,9657,92.12,39,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_3291,Pasir Ris,1.378786,103.941496,2,267183,35710,9069,92.11,40,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_8791,Jurong West,1.34803,103.709672,4,267298,37049,9012,92.08,41,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_8522,Sengkang,1.397706,103.896144,4,279536,32843,9443,92.06,42,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_8011,Bukit Batok,1.34926,103.754758,0,294884,35252,7461,92.04,43,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_4506,Pasir Ris,1.372983,103.954326,15,294232,38505,8912,92.0,44,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_8788,Pasir Ris,1.366454,103.950818,6,268987,37975,8934,91.95,45,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_9291,Serangoon,1.365685,103.867415,5,247335,38160,9742,91.8,46,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_8441,Woodlands,1.426936,103.779417,0,292670,39449,6343,91.68,47,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_9308,Ang Mo Kio,1.375125,103.852208,0,261421,36598,8599,91.64,48,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_8647,Tampines,1.352813,103.956973,4,286280,35413,8237,91.61,49,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_5586,Toa Payoh,1.325623,103.859032,3,298020,33025,8095,91.6,50,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_3005,Woodlands,1.434688,103.784516,19,291606,39877,9063,91.53,51,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1290,Sengkang,1.395328,103.895449,14,279977,37011,9585,91.47,52,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_3452,Pasir Ris,1.375163,103.94528,4,241281,38830,9498,91.34,53,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_2553,Tampines,1.352942,103.955147,3,296399,30016,8794,91.34,54,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_8197,Woodlands,1.43166,103.788431,2,242093,35864,9891,91.32,55,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_5814,Serangoon,1.35351,103.867024,4,269546,39136,7989,91.3,56,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_3751,Yishun,1.422885,103.831748,0,238755,35367,9854,91.27,57,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_9650,Jurong West,1.345628,103.716793,5,282310,30033,9746,91.24,58,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_2874,Jurong West,1.349729,103.700526,5,286989,32567,8837,91.16,59,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_2217,Tampines,1.35545,103.948653,8,278587,32941,9580,91.09,60,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_9148,Toa Payoh,1.327913,103.865356,3,289508,35317,7639,90.99,61,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_3693,Yishun,1.42445,103.838512,7,250588,36684,9821,90.94,62,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_6206,Serangoon,1.357913,103.865309,8,266521,35075,9517,90.82,63,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_3962,Tampines,1.346125,103.950434,4,285569,27366,9882,90.8,64,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_3184,Toa Payoh,1.335933,103.865596,13,267421,39460,9109,90.79,65,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_6827,Serangoon,1.358501,103.860366,2,285590,33648,8003,90.79,66,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_7517,Pasir Ris,1.378818,103.952129,18,276749,38237,9699,90.79,67,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_8840,Woodlands,1.436509,103.792914,3,223893,39426,9787,90.78,68,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_3436,Tampines,1.348729,103.956707,11,287878,34727,8964,90.78,69,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_4122,Woodlands,1.426009,103.792029,3,274860,31586,9182,90.74,70,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1133,Ang Mo Kio,1.375136,103.854477,4,289710,33271,8162,90.73,71,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_2054,Ang Mo Kio,1.372039,103.848069,14,279474,39094,8708,90.71,72,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_7824,Woodlands,1.439516,103.785413,3,269887,35916,8298,90.64,73,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1659,Ang Mo Kio,1.365704,103.853036,6,267664,33920,9315,90.56,74,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_4214,Woodlands,1.435951,103.785953,2,279180,37098,7336,90.54,75,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1931,Sengkang,1.398304,103.900599,8,299516,37588,7089,90.52,76,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_4615,Sengkang,1.388786,103.898155,3,290983,39786,6176,90.44,77,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1714,Woodlands,1.430511,103.791935,11,253731,38163,9626,90.41,78,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1833,Ang Mo Kio,1.362955,103.841915,10,290377,36153,8085,90.28,79,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_4759,Serangoon,1.359627,103.863335,14,259919,39446,9367,90.25,80,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_5083,Bukit Batok,1.362869,103.746969,13,291834,32153,9442,90.24,81,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_4943,Yishun,1.439247,103.833401,8,294331,31501,8721,90.23,82,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_9068,Pasir Ris,1.366283,103.959027,12,294751,33253,8857,90.22,83,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
